MJD,x_pole,y_pole,Type,UT1-UTC
42230,0.016514,0.223659,final,0.1837541
42231,0.017747,0.224273,final,0.1821775
42232,0.018951,0.224848,final,0.1805972
42233,0.020124,0.225385,final,0.1789623
42234,0.021263,0.225883,final,0.1772358
42235,0.022369,0.226345,final,0.1753992
42236,0.023441,0.226768,final,0.1734528
42237,0.024476,0.227156,final,0.1714139
42238,0.025470,0.227508,final,0.1693126
42239,0.026418,0.227826,final,0.1671878
42240,0.027316,0.228112,final,0.1650821
42241,0.028162,0.228365,final,0.1630370
42242,0.028953,0.228584,final,0.1610859
42243,0.029685,0.228770,final,0.1592442
42244,0.030351,0.228924,final,0.1574964
42245,0.030946,0.229046,final,0.1557884
42246,0.031470,0.229137,final,0.1540328
42247,0.031921,0.229198,final,0.1521334
42248,0.032300,0.229227,final,0.1500210
42249,0.032609,0.229227,final,0.1476858
42250,0.032849,0.229197,final,0.1451868
42251,0.033023,0.229138,final,0.1426340
42252,0.033134,0.229051,final,0.1401491
42253,0.033189,0.228933,final,0.1378273
42254,0.033193,0.228785,final,0.1357144
42255,0.033150,0.228606,final,0.1338074
42256,0.033062,0.228396,final,0.1320688
42257,0.032929,0.228152,final,0.1304431
42258,0.032752,0.227876,final,0.1288695
42259,0.032535,0.227567,final,0.1272882
42260,0.032278,0.227224,final,0.1256451
42261,0.031985,0.226850,final,0.1238975
42262,0.031655,0.226442,final,0.1220194
42263,0.031289,0.226005,final,0.1200048
42264,0.030889,0.225542,final,0.1178673
42265,0.030461,0.225057,final,0.1156365
42266,0.030009,0.224553,final,0.1133517
42267,0.029538,0.224035,final,0.1110567
42268,0.029048,0.223507,final,0.1087935
42269,0.028541,0.222971,final,0.1065964
42270,0.028019,0.222430,final,0.1044843
42271,0.027485,0.221885,final,0.1024513
42272,0.026941,0.221335,final,0.1004595
42273,0.026390,0.220782,final,0.0984382
42274,0.025834,0.220226,final,0.0962965
42275,0.025274,0.219672,final,0.0939503
42276,0.024709,0.219123,final,0.0913562
42277,0.024141,0.218581,final,0.0885363
42278,0.023568,0.218052,final,0.0855791
42279,0.022991,0.217537,final,0.0826134
42280,0.022410,0.217038,final,0.0797654
42281,0.021828,0.216559,final,0.0771206
42282,0.021247,0.216101,final,0.0747058
42283,0.020674,0.215664,final,0.0724966
42284,0.020115,0.215249,final,0.0704374
42285,0.019577,0.214855,final,0.0684627
42286,0.019065,0.214484,final,0.0665101
42287,0.018583,0.214136,final,0.0645249
42288,0.018130,0.213812,final,0.0624629
42289,0.017710,0.213516,final,0.0602943
42290,0.017324,0.213246,final,0.0580075
42291,0.016973,0.213006,final,0.0556089
42292,0.016658,0.212796,final,0.0531226
42293,0.016380,0.212619,final,0.0505851
42294,0.016139,0.212479,final,0.0480399
42295,0.015937,0.212379,final,0.0455299
42296,0.015772,0.212320,final,0.0430908
42297,0.015642,0.212303,final,0.0407426
42298,0.015542,0.212329,final,0.0384828
42299,0.015466,0.212397,final,0.0362799
42300,0.015410,0.212508,final,0.0340742
42301,0.015368,0.212663,final,0.0317851
42302,0.015334,0.212862,final,0.0293283
42303,0.015303,0.213105,final,0.0266415
42304,0.015266,0.213390,final,0.0237106
42305,0.015216,0.213717,final,0.0205839
42306,0.015143,0.214086,final,0.0173645
42307,0.015042,0.214493,final,0.0141804
42308,0.014907,0.214938,final,0.0111442
42309,0.014735,0.215416,final,0.0083205
42310,0.014520,0.215921,final,0.0057149
42311,0.014256,0.216446,final,0.0032855
42312,0.013942,0.216984,final,0.0009657
42313,0.013575,0.217530,final,-0.0013138
42314,0.013152,0.218078,final,-0.0036138
42315,0.012674,0.218622,final,-0.0059825
42316,0.012139,0.219157,final,-0.0084542
42317,0.011550,0.219676,final,-0.0110472
42318,0.010911,0.220176,final,-0.0137616
42319,0.010228,0.220653,final,-0.0165796
42320,0.009507,0.221104,final,-0.0194678
42321,0.008749,0.221530,final,-0.0223835
42322,0.007956,0.221929,final,-0.0252801
42323,0.007129,0.222303,final,-0.0281155
42324,0.006272,0.222655,final,-0.0308605
42325,0.005390,0.222984,final,-0.0335083
42326,0.004487,0.223294,final,-0.0360812
42327,0.003570,0.223587,final,-0.0386305
42328,0.002643,0.223865,final,-0.0412288
42329,0.001714,0.224132,final,-0.0439543
